likelihood,Particles,Method
-157496.18946959142,1000,Bootstrap
-157719.43437108537,1000,Bootstrap
-153444.71958294022,1000,Bootstrap
-157269.67547099944,1000,Bootstrap
-157205.1701664155,1000,Bootstrap
-157511.9076340634,1000,Bootstrap
-156156.55844606124,1000,Bootstrap
-157774.75302166177,1000,Bootstrap
-156953.21518887422,1000,Bootstrap
-159755.22555224545,1000,Bootstrap
-156810.74975562908,1000,Bootstrap
-158749.35411665632,1000,Bootstrap
-158809.48884151154,1000,Bootstrap
-159561.07361219858,1000,Bootstrap
-160614.50433012962,1000,Bootstrap
-157026.08443278767,1000,Bootstrap
-153671.3039888775,1000,Bootstrap
-157511.953769225,1000,Bootstrap
-157746.26128939856,1000,Bootstrap
-163037.61240348697,1000,Bootstrap
-155828.20703275342,1000,Bootstrap
-162151.59761020396,1000,Bootstrap
-156511.286402464,1000,Bootstrap
-155483.60347323498,1000,Bootstrap
-158359.6731154292,1000,Bootstrap
-160164.41316762526,1000,Bootstrap
-158203.45804511913,1000,Bootstrap
-161345.1726291376,1000,Bootstrap
-155695.68946367456,1000,Bootstrap
-154169.86767902732,1000,Bootstrap
-156789.34479033278,1000,Bootstrap
-160872.03595120987,1000,Bootstrap
-157969.48068585325,1000,Bootstrap
-157904.0110522569,1000,Bootstrap
-160559.2499488084,1000,Bootstrap
-160226.04823392574,1000,Bootstrap
-161318.58427459677,1000,Bootstrap
-159183.49892127526,1000,Bootstrap
-161283.9561776228,1000,Bootstrap
-156706.60820836882,1000,Bootstrap
-161995.5493246813,1000,Bootstrap
-156410.767908611,1000,Bootstrap
-156738.41112091788,1000,Bootstrap
-156888.040655298,1000,Bootstrap
-161566.12722887436,1000,Bootstrap
-160676.52522799463,1000,Bootstrap
-159784.78150127575,1000,Bootstrap
-161429.15241825595,1000,Bootstrap
-157037.2477150332,1000,Bootstrap
-155877.0562857939,1000,Bootstrap
-160744.13486072776,1000,Bootstrap
-155937.31184260175,1000,Bootstrap
-156266.48220947638,1000,Bootstrap
-158662.05851749386,1000,Bootstrap
-257907.8381368194,10,Bootstrap
-258739.11883122913,10,Bootstrap
-258281.23235714243,10,Bootstrap
-261872.3372725287,10,Bootstrap
-262892.55105562817,10,Bootstrap
-257220.6899033612,10,Bootstrap
-266843.897147822,10,Bootstrap
-267081.185512298,10,Bootstrap
-260562.4772691491,10,Bootstrap
-256448.35873055417,10,Bootstrap
-261947.36864016386,10,Bootstrap
-259389.99925784706,10,Bootstrap
-259513.59231563896,10,Bootstrap
-262964.2770859565,10,Bootstrap
-260209.85335158178,10,Bootstrap
-260616.8497024517,10,Bootstrap
-263671.4065568478,10,Bootstrap
-262568.91746440623,10,Bootstrap
-261797.26966841894,10,Bootstrap
-262985.80285745586,10,Bootstrap
-267681.3105946856,10,Bootstrap
-262127.52094610612,10,Bootstrap
-265280.8361252273,10,Bootstrap
-263766.1178993168,10,Bootstrap
-264999.08199506206,10,Bootstrap
-262009.76231844735,10,Bootstrap
-261196.72221181833,10,Bootstrap
-261412.45059458865,10,Bootstrap
-261127.2704508051,10,Bootstrap
-262914.8665036045,10,Bootstrap
-259112.66702187492,10,Bootstrap
-261148.1719903824,10,Bootstrap
-260027.41324053303,10,Bootstrap
-265136.9043733898,10,Bootstrap
-260672.96087005915,10,Bootstrap
-255906.83267039194,10,Bootstrap
-262909.33427749114,10,Bootstrap
-255503.54763006436,10,Bootstrap
-263560.82264911535,10,Bootstrap
-260507.99617542396,10,Bootstrap
-264356.982090936,10,Bootstrap
-261921.5471482809,10,Bootstrap
-259652.40642513876,10,Bootstrap
-262096.1902191929,10,Bootstrap
-257555.33642945156,10,Bootstrap
-257375.7619627642,10,Bootstrap
-264594.82885038626,10,Bootstrap
-261335.63129369958,10,Bootstrap
-264020.74604589003,10,Bootstrap
-258906.80275212182,10,Bootstrap
-256756.04410948578,10,Bootstrap
-256602.51016226024,10,Bootstrap
-261888.34020438863,10,Bootstrap
-259786.84176728473,10,Bootstrap
-263346.0505290494,10,Bootstrap
-258432.23466355755,10,Bootstrap
-263121.7580117823,10,Bootstrap
-261869.03478305522,10,Bootstrap
-263126.00520599657,10,Bootstrap
-261618.6349644687,10,Bootstrap
-262090.62027097796,10,Bootstrap
-263028.78872849845,10,Bootstrap
-262911.3163039572,10,Bootstrap
-265920.2149121827,10,Bootstrap
-260506.7657111267,10,Bootstrap
-266891.47126402933,10,Bootstrap
-262379.3554561969,10,Bootstrap
-266165.7156534003,10,Bootstrap
-259423.2378932341,10,Bootstrap
-256742.36889487616,10,Bootstrap
-268445.8097884182,10,Bootstrap
-259200.50197265577,10,Bootstrap
-262203.028150752,10,Bootstrap
-259568.27297468577,10,Bootstrap
-265718.4867442241,10,Bootstrap
-262834.21400323324,10,Bootstrap
-261356.13604182698,10,Bootstrap
-259553.2098356166,10,Bootstrap
-262521.601978007,10,Bootstrap
-256881.75698405568,10,Bootstrap
-261725.5885458249,10,Bootstrap
-263606.99845723837,10,Bootstrap
-266373.47428839066,10,Bootstrap
-260528.0279327812,10,Bootstrap
-261804.83130182113,10,Bootstrap
-262709.14640960196,10,Bootstrap
-262533.27048217814,10,Bootstrap
-260385.5230167252,10,Bootstrap
-259956.88605888613,10,Bootstrap
-258405.80064254705,10,Bootstrap
-258220.85168360747,10,Bootstrap
-266262.5853309983,10,Bootstrap
-264915.4259784651,10,Bootstrap
-263784.52023318404,10,Bootstrap
-264296.8097815205,10,Bootstrap
-262544.74295448867,10,Bootstrap
-265861.5343848407,10,Bootstrap
-261489.3258973229,10,Bootstrap
-267034.1700676026,10,Bootstrap
-261182.3868488363,10,Bootstrap
-165976.2191704031,100,Twisted
-166266.68436369576,100,Twisted
-168148.26892780306,100,Twisted
-167512.87212537698,100,Twisted
-166640.39275697726,100,Twisted
-167185.55396565126,100,Twisted
-167774.08992933994,100,Twisted
-169090.662973918,100,Twisted
-171010.21413162764,100,Twisted
-168922.40773982208,100,Twisted
-169334.45049363043,100,Twisted
-169211.14939746165,100,Twisted
-164028.84329475672,100,Twisted
-167843.12487854293,100,Twisted
-169265.71549712933,100,Twisted
-169929.68381845063,100,Twisted
-170841.8436937422,100,Twisted
-163654.9768060861,100,Twisted
-165294.76654560835,100,Twisted
-171215.35818173384,100,Twisted
-167525.22356002522,100,Twisted
-166618.66335736818,100,Twisted
-167369.3725313687,100,Twisted
-166568.44406354797,100,Twisted
-168336.79394929993,100,Twisted
-165432.42557732254,100,Twisted
-169338.5466211434,100,Twisted
-165205.02098495731,100,Twisted
-165978.93524069025,100,Twisted
-168427.3868731096,100,Twisted
-169946.11774514304,100,Twisted
-166759.26897809657,100,Twisted
-165571.19151035786,100,Twisted
-169748.5558846077,100,Twisted
-169496.50360986867,100,Twisted
-172475.42859677153,100,Twisted
-168285.0577585535,100,Twisted
-167292.6487642074,100,Twisted
-164796.44895320156,100,Twisted
-166595.60571110903,100,Twisted
-167003.76287932415,100,Twisted
-169838.75239415196,100,Twisted
-167909.20256837868,100,Twisted
-166480.00369522363,100,Twisted
-168209.89723764002,100,Twisted
-165768.01959182773,100,Twisted
-165699.69484037577,100,Twisted
-167745.04694923357,100,Twisted
-169272.0058765474,100,Twisted
-166858.82086348717,100,Twisted
-165068.8042591703,100,Twisted
-167198.8628245636,100,Twisted
-170044.9282993229,100,Twisted
-168058.7949835529,100,Twisted
-165813.26159147412,100,Twisted
-167653.663920858,100,Twisted
-163388.0329911853,100,Twisted
-170593.50451373102,100,Twisted
-168449.94715885338,100,Twisted
-169826.66585995597,100,Twisted
-166794.83041740596,100,Twisted
-167087.03930514804,100,Twisted
-168261.7628658018,100,Twisted
-167843.94382882005,100,Twisted
-164867.3558624604,100,Twisted
-173957.39855671537,100,Twisted
-166237.9668588811,100,Twisted
-167306.53766383266,100,Twisted
-169856.08040426363,100,Twisted
-169243.99063684302,100,Twisted
-170324.65362516852,100,Twisted
-163311.19699195473,100,Twisted
-170212.85298420474,100,Twisted
-169223.07420497242,100,Twisted
-167277.71972703925,100,Twisted
-166250.81491371777,100,Twisted
-165660.98149048365,100,Twisted
-167279.67692284955,100,Twisted
