Particles,ll,Algorithm
100,890.5032932848368,Bootstrap
100,869.0670741071325,Bootstrap
100,885.8727969094123,Bootstrap
100,874.0845224255645,Bootstrap
100,890.9136811196372,Bootstrap
100,878.4262821717459,Bootstrap
100,876.4276737319196,Bootstrap
100,875.8358727976953,Bootstrap
100,884.3200410202014,Bootstrap
100,875.4900907297011,Bootstrap
100,885.7982590125845,Bootstrap
100,884.4518683875989,Bootstrap
100,860.1167460266954,Bootstrap
100,882.0647875513134,Bootstrap
100,869.9378003470597,Bootstrap
100,881.3003245097143,Bootstrap
100,883.3075826075933,Bootstrap
100,870.0333889892922,Bootstrap
100,880.493942776431,Bootstrap
100,870.7612288101182,Bootstrap
100,870.0843983563494,Bootstrap
100,883.9289704418587,Bootstrap
100,878.8199776234704,Bootstrap
100,858.2717312587288,Bootstrap
100,880.6016499793633,Bootstrap
100,878.48931219717,Bootstrap
100,870.3848737593585,Bootstrap
100,875.3786680185777,Bootstrap
100,882.0075713609717,Bootstrap
100,884.1773593319995,Bootstrap
100,883.176035378012,Bootstrap
100,897.8600588751877,Bootstrap
100,871.7308366172199,Bootstrap
100,874.7553693166001,Bootstrap
100,871.8316447837861,Bootstrap
100,877.1851350449244,Bootstrap
100,871.312686029162,Bootstrap
100,873.1896530685763,Bootstrap
100,868.77939826094,Bootstrap
100,883.6459766364299,Bootstrap
100,880.2450453943856,Bootstrap
100,881.9439308737924,Bootstrap
100,876.5824462986501,Bootstrap
100,879.8236927691977,Bootstrap
100,872.2965992790482,Bootstrap
100,878.0167211875597,Bootstrap
100,882.5140894735516,Bootstrap
100,885.283722144384,Bootstrap
100,882.5448259597349,Bootstrap
100,884.2287509744264,Bootstrap
100,868.9557547358248,Bootstrap
100,880.5745727456458,Bootstrap
100,883.3290631340051,Bootstrap
100,885.8151060813948,Bootstrap
100,880.3353445540464,Bootstrap
100,883.9188289329738,Bootstrap
100,881.9922199073919,Bootstrap
100,878.0935225912127,Bootstrap
100,882.6197253794957,Bootstrap
100,873.3967337008769,Bootstrap
100,880.4293541566294,Bootstrap
100,880.6351496777534,Bootstrap
100,884.4175543918877,Bootstrap
100,893.9149606889617,Bootstrap
